Part;Value;Device;Package;Description;Mouser Part Number;Sparkfun Part Number;Notes
J1-INTERRUPTS;INTERRUPTS;CONN_04X2;2X4;Stacked header;200-SSQ10404GD;;
J2-WAITS;WAITS;CONN_04X2;2X4;Stacked header;200-SSQ10404GD;;
J1_ADDRESS_CON;J1;CONN_20;1X20;Stacked header;200-SSQ12004GS;;
J2_DATA_AND_POWER_CON;J2;CONN_20;1X20;Stacked header;200-SSQ12004GS;;
B1;SPARKFUN_LOGIC_LEVEL_CONVERTER;SPARKFUN_LOGIC_LEVEL_CONVERTER;SPARKFUN_LOGIC_LEVEL_CONVERTER;SparkFun Logic Level Converter -Bi-Directional;474-BOB-12009;BOB-12009;https://www.sparkfun.com/products/12009
B2;SPARKFUN_LOGIC_LEVEL_CONVERTER;SPARKFUN_LOGIC_LEVEL_CONVERTER;SPARKFUN_LOGIC_LEVEL_CONVERTER;SparkFun Logic Level Converter -Bi-Directional;474-BOB-12009;BOB-12009;https://www.sparkfun.com/products/12009
B3;SPARKFUN_LOGIC_LEVEL_CONVERTER;SPARKFUN_LOGIC_LEVEL_CONVERTER;SPARKFUN_LOGIC_LEVEL_CONVERTER;SparkFun Logic Level Converter -Bi-Directional;474-BOB-12009;BOB-12009;https://www.sparkfun.com/products/12009
B4;SPARKFUN_LOGIC_LEVEL_CONVERTER;SPARKFUN_LOGIC_LEVEL_CONVERTER;SPARKFUN_LOGIC_LEVEL_CONVERTER;SparkFun Logic Level Converter -Bi-Directional;474-BOB-12009;BOB-12009;https://www.sparkfun.com/products/12009
B5;SPARKFUN_LOGIC_LEVEL_CONVERTER;SPARKFUN_LOGIC_LEVEL_CONVERTER;SPARKFUN_LOGIC_LEVEL_CONVERTER;SparkFun Logic Level Converter -Bi-Directional;474-BOB-12009;BOB-12009;https://www.sparkfun.com/products/12009
B6;SPARKFUN_LOGIC_LEVEL_CONVERTER;SPARKFUN_LOGIC_LEVEL_CONVERTER;SPARKFUN_LOGIC_LEVEL_CONVERTER;SparkFun Logic Level Converter -Bi-Directional;474-BOB-12009;BOB-12009;https://www.sparkfun.com/products/12009
U$2;TEENSY_3.5/3.6;TEENSY_3.5/3.6;TEENSY_3.5/3.6;Teensy;474-DEV-14058;DEV-14058;Also available here:  https://www.pjrc.com/store/teensy35.html
IC1;74LS00N;74LS00N;DIL14;Quad 2-input NAND gate;595-SN74LS00N;;Most, if not all 74LS series can be substituted with 74HCT
IC6;74LS139N;74LS139N;DIL16;Dual 2-line to 4-line DECODER/DEMULTIPLEXER;595-SN74LS139AN;;Most, if not all 74LS series can be substituted with 74HCT
IC7;74LS155N;74LS155N;DIL16;Dual 2-line to 4-line data DECODER/DEMULTIPLEXER;595-SN74LS155AN;;Most, if not all 74LS series can be substituted with 74HCT
IC11;74LS20N;74LS20N;DIL14;Dual 4-input NAND gate;595-SN74LS20N;;Most, if not all 74LS series can be substituted with 74HCT
IC4;74LS244N;74LS244N;DIL20;Octal BUFFER and LINE DRIVER, 3-state;595-SN74LS244N;;Most, if not all 74LS series can be substituted with 74HCT
IC3;74LS30N;74LS30N;DIL14;8-input NAND gate;595-SN74LS30N;;Most, if not all 74LS series can be substituted with 74HCT
IC2;74LS373N;74LS373N;DIL20;Octal D type transparent LATCH, edge triggered;595-SN74LS373N;;Most, if not all 74LS series can be substituted with 74HCT
IC5;74S74N;74S74N;DIL14;Dual D type positive edge triggered FLIP FLOP, preset and clear;595-SN74LS74AN;;Most, if not all 74LS series can be substituted with 74HCT
R4;330;R-US_0204/2V;0204V;Resistor ;603-CFR-25JT-52-330R;;
R5;330;R-US_0204/2V;0204V;Resistor ;603-CFR-25JT-52-330R;;
R6;330;R-US_0204/2V;0204V;Resistor ;603-CFR-25JT-52-330R;;
RGB_LED2;5MMRGBLED;5MMRGBLED;LED5MMRGB;RGB LED (Common Cathode);743-HV-5RGB25;;
C1;.1uf;C-US025-024X044;C025-024X044;Capacitor ;810-FA18X7R1H10400;;
C2;.1uf;C-US025-024X044;C025-024X044;Capacitor ;810-FA18X7R1H10400;;
C3;.1uf;C-US025-024X044;C025-024X044;Capacitor ;810-FA18X7R1H10400;;
C4;.1uf;C-US025-024X044;C025-024X044;Capacitor ;810-FA18X7R1H10400;;
C5;.1uf;C-US025-024X044;C025-024X044;Capacitor ;810-FA18X7R1H10400;;
C6;.1uf;C-US025-024X044;C025-024X044;Capacitor ;810-FA18X7R1H10400;;
C7;.1uf;C-US025-024X044;C025-024X044;Capacitor ;810-FA18X7R1H10400;;
C8;.1uf;C-US025-024X044;C025-024X044;Capacitor ;810-FA18X7R1H10400;;
